giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Pascal Groß,Brighton,CEN,MEDIANO,450.0,1.582,1.7652,1.7652,1.757,1.7652,1.1709,0.2921,22.0304,,,,,,,2,0.99,2.02,1.0151,1.01,0.198,0.466,1.0173,0.6625,-0.002,35.27,0.1019,5,5,0,0,,1,1,82,6,266,137,3.0,2.3931,,,1.2362,2.7127,-1.9315,
Erling Haaland,Manchester City,ATT,CENTRAVANTI,450.0,1.465,0.7847,0.7847,0.792,0.7847,1.0367,0.6041,32.7857,,,,,,,5,4.76,1.05,0.11,0.24,0.952,0.126,1.0189,1.0972,0.018,26.17,0.5649,5,5,0,0,,2,2,1,37,130,137,3.0,2.7688,,,0.4277,0.4073,0.0462,
Mathis Cherki,Manchester City,ATT,TREQUARTISTA,313.0,1.2397,1.6929,1.6929,1.7025,1.6929,1.026,0.54,22.0655,,,,,,,3,1.06,2.83,1.8843,1.94,0.305,0.5348,1.0189,0.9509,-0.052,23.1,0.7498,5,5,0,0,,3,3,11,1,35,137,1.4824,0.4398,,,3.0,2.8369,1.0731,
Cole Palmer,Chelsea,ATT,TREQUARTISTA,445.0,0.9514,0.4724,0.4724,0.4798,0.4724,0.7606,0.5461,27.7625,,,,,,,2,1.81,1.105,0.1412,0.19,0.366,0.3721,0.9582,0.7439,0.001,24.38,0.7089,5,5,0,0,,4,5,8,33,74,137,1.6639,1.6775,,,0.5111,0.45,0.8459,
Alex Iwobi,Fulham,CEN,MEDIANO,416.0,0.9239,0.0647,0.0647,0.0558,0.0647,0.5698,0.2522,22.3611,,,,,,,0,0.68,0.0,-0.8246,-0.68,0.147,0.3505,1.0593,0.6743,0.237,30.38,0.219,5,5,0,0,,5,14,83,77,241,137,2.3582,2.5008,,,-0.9942,-1.3283,-1.3817,
Bryan Mbeumo,Manchester United,ATT,ALA,450.0,0.9075,0.0357,0.0357,0.0429,0.0357,0.5013,0.5503,27.6469,,,,,,,2,2.87,0.697,-0.5135,-0.87,0.574,0.242,1.0342,0.7538,-0.076,27.12,0.4736,5,5,0,0,,6,20,6,50,167,137,1.7903,1.6523,,,-0.1076,-0.4465,-0.4608,
Leif Davis,Ipswich,DIF,TERZINO,450.0,0.9054,0.6447,0.6447,0.6471,0.6447,0.6438,0.2132,24.0224,,,,,,,2,1.76,1.136,0.1809,0.24,0.352,0.134,0.9836,0.458,-0.058,26.72,0.5127,5,5,0,0,,7,12,94,29,149,137,3.0,3.0,,,0.6338,0.9245,0.0721,
Morgan Rogers,Chelsea,ATT,TREQUARTISTA,444.0,0.8883,1.0813,1.0813,1.0886,1.0813,0.7266,0.53,25.9002,,,,,,,3,1.45,2.069,1.2872,1.55,0.294,0.3669,0.9582,0.5617,-0.154,24.16,0.7206,5,5,0,0,,8,7,16,5,62,137,1.182,1.2729,,,1.9728,2.0193,0.9109,
Alexander Isak,Liverpool,ATT,CENTRAVANTI,417.0,0.882,0.5691,0.5691,0.5769,0.5691,0.654,0.5514,29.8557,,,,,,,4,3.73,1.072,0.1398,0.27,0.805,0.0324,1.029,0.8583,0.059,27.0,0.4862,5,5,0,0,,9,10,5,35,159,137,1.8236,2.1322,,,0.461,0.4481,-0.3908,
João Pedro,Chelsea,ATT,CENTRAVANTI,360.0,0.8379,0.3994,0.3994,0.4074,0.3994,0.7045,0.5495,27.093,,,,,,,3,2.52,1.19,0.3024,0.48,0.63,0.1875,0.9687,0.56,,24.99,0.6679,5,4,1,0,,10,8,7,25,92,137,1.7664,1.532,,,0.64,0.6707,0.6182,
Conor Gallagher,Tottenham,CEN,TREQUARTISTA,133.0,0.7911,0.7499,0.7499,0.7271,0.7499,0.6591,,,,,,,,,1,0.4,,0.9487,0.6,0.271,0.0,0.9521,34.2,,26.62,0.5222,5,3,0,0,,11,9,245,184,142,137,,,,,,2.5669,0.0419,
Marcus Tavernier,Bournemouth,ATT,ALA,434.0,0.7737,0.9351,0.9351,1.0059,0.9351,0.545,0.5322,26.5393,,,,,0.6132,,3,1.7,1.765,0.9971,1.3,0.353,0.3048,0.9328,0.6221,-0.03,27.5,0.4347,5,5,0,0,,12,18,14,14,176,137,1.2485,1.4117,,,1.5119,1.622,-0.6768,
Dan Ndoye,Nottingham Forest,ATT,TREQUARTISTA,332.0,0.7651,-0.0228,-0.0228,-0.0137,-0.0228,0.4389,0.5557,27.3625,,,,,,,1,1.74,0.575,-0.561,-0.74,0.472,0.4608,1.0266,0.7213,-0.16,25.91,0.5893,5,5,0,0,,13,27,3,55,122,137,1.951,1.5906,,,-0.2926,-0.5115,0.1817,
Mohamed Belloumi,Hull,CEN,ESTERNO_C,408.0,0.7575,1.4095,1.4095,1.4004,1.4095,0.5641,0.2172,20.4392,,,,,,,2,0.95,2.105,1.0773,1.05,0.21,0.1125,1.132,0.3711,0.091,24.31,0.7128,5,5,0,0,,14,15,92,4,70,137,0.7912,1.8749,,,1.33,2.8493,0.9368,
Brian Brobbey,Sunderland,ATT,CENTRAVANTI,404.0,0.7452,0.5825,0.5825,0.5905,0.5825,0.7527,0.545,25.7981,,,,,,,3,2.92,1.027,0.0468,0.08,0.65,0.1359,0.9991,0.9455,0.265,24.64,0.6928,5,5,0,0,,15,6,9,38,82,137,1.6306,1.2507,,,0.3928,0.3207,0.7565,
Thierno Barry,Everton,ATT,CENTRAVANTI,425.0,0.7345,-0.1444,-0.1444,-0.1367,-0.1444,0.5466,0.5539,31.021,,,,,,,2,3.85,0.519,-0.9428,-1.85,0.815,0.0635,1.0693,0.8712,-0.032,23.92,0.7313,5,5,0,0,,16,17,4,57,56,137,1.8982,2.3854,,,-0.3775,-1.0343,0.9703,
Anthony Elanga,Newcastle United,ATT,ALA,241.0,0.7218,0.727,0.727,0.747,0.727,0.653,,,,,,,,,2,0.42,,2.438,1.58,0.157,0.2539,0.9424,0.6222,,24.4,0.7077,5,3,0,0,,17,11,245,184,75,137,,,,,,3.0,0.8393,
Malick Yalcouyé,Brighton,ATT,TREQUARTISTA,237.0,0.7092,1.0904,1.0904,1.1014,1.0904,0.7679,0.5378,18.3346,,,,,,,2,1.44,1.389,0.4667,0.56,0.547,0.3646,1.0173,5.7536,0.426,20.84,0.7626,5,5,0,0,,18,4,12,22,23,137,1.4152,-0.3708,,,0.9417,0.8957,1.1441,
Tyrick Mitchell,Crystal Palace,DIF,QUINTO,430.0,0.6941,0.854,0.854,0.8565,0.854,0.4704,0.1794,19.2708,,,,,,,2,1.03,1.942,0.9558,0.97,0.216,0.1214,1.0154,0.2289,-0.342,27.06,0.4799,5,5,0,0,,19,22,132,7,163,137,1.9012,2.0433,,,1.831,2.7022,-0.0808,
Phil Foden,Manchester City,CEN,ALA,219.0,0.686,-0.8508,-0.8508,-0.8631,-0.8508,0.4168,0.3067,24.6122,,,,,,,0,1.56,0.0,-1.249,-1.56,0.641,0.5301,1.0031,0.1636,,26.32,0.5507,5,4,0,0,,20,30,81,77,134,137,3.0,3.0,,,-0.9942,-2.2605,0.1757,
Pedro Neto,Chelsea,DIF,QUINTO,343.0,0.6507,0.3635,0.3635,0.3665,0.3635,0.4258,0.2003,19.0719,,,,,,,1,1.07,0.935,-0.0677,-0.07,0.281,0.1994,0.9582,0.3769,-0.283,26.54,0.5298,5,5,0,0,,21,28,104,41,139,137,2.9762,1.9633,,,0.3352,0.3542,0.1519,
Lewis Hall,Newcastle United,DIF,TERZINO,450.0,0.6216,0.9849,0.9849,0.9873,0.9849,0.5559,0.1625,18.4907,,,,,,,1,0.32,,1.2021,0.68,0.064,0.152,0.8979,0.2619,0.212,22.03,0.7778,5,5,0,0,,22,16,149,184,4,137,1.0312,1.7297,,,,3.0,1.3083,
Josko Gvardiol,Manchester City,DIF,TERZINO,436.0,0.609,0.9133,0.9133,0.9158,0.9133,0.4936,0.1649,14.8609,,,,,,,1,0.44,,0.8442,0.56,0.091,0.1693,1.0189,0.3376,0.326,24.66,0.6915,5,5,0,0,,23,21,146,184,84,137,1.1536,0.2705,,,,2.4462,0.9059,
Emersonn,Ipswich,ATT,CENTRAVANTI,334.0,0.576,0.6335,0.6335,0.6427,0.6335,0.6254,0.5202,24.2839,,,,,,,2,1.36,1.471,0.5488,0.64,0.366,0.3018,0.9836,0.6705,-0.055,22.18,0.7761,5,5,0,0,,24,13,18,18,10,137,0.8877,0.9217,,,1.0661,1.0081,1.2191,
Keane Lewis-Potter,Brentford,DIF,TERZINO,418.0,0.5697,0.3156,0.3156,0.3182,0.3156,0.4154,0.192,18.0953,,,,,,,1,1.15,0.87,-0.1399,-0.15,0.248,0.1636,1.0208,0.3552,-0.082,25.58,0.6191,5,5,0,0,,25,31,108,47,109,137,2.5473,1.5707,,,0.2386,0.1885,0.5683,
Jayden Bogle,Leeds,DIF,QUINTO,376.0,0.5637,0.7135,0.7135,0.7163,0.7135,0.4117,0.173,18.0695,,,,,,,2,1.26,1.587,0.6592,0.74,0.302,0.012,0.9901,0.2912,-0.186,26.15,0.5668,5,5,0,0,,26,32,138,17,129,137,1.5712,1.5604,,,1.3037,2.0217,0.3244,
Dominik Szoboszlai,Liverpool,CEN,MEDIANO,441.0,0.56,-0.1984,-0.1984,-0.2068,-0.1984,0.3381,0.2372,20.1739,,,,,,,0,0.5,0.0,-0.7071,-0.5,0.102,0.2898,1.029,0.3822,-0.012,25.91,0.5893,5,5,0,0,,27,40,86,77,122,137,1.6838,1.7885,,,-0.9942,-1.0702,0.3569,
Martin Odegaard,Arsenal,ATT,TREQUARTISTA,391.0,0.5484,0.8248,0.8248,0.833,0.8248,0.3225,0.5116,24.3499,,,,,,,2,1.08,1.852,0.8853,0.92,0.249,0.4535,1.1546,0.6095,-0.099,27.76,0.409,5,5,0,0,,28,41,22,8,186,137,0.6306,0.9361,,,1.6438,1.4689,-0.8195,
